frames,res,regime,refs,minutes,date,production,graph,job
311,1184x672,mm_clip_v1/20,1,13.14,2026-08-23,apricot_paper,mm_clip_v1,b01_s130002
311,1184x672,mm_clip_v1/20,2,13.72,2026-08-23,apricot_paper,mm_clip_v1,b02_s130003
311,1184x672,mm_clip_v1/20,3,14.27,2026-08-23,apricot_paper,mm_clip_v1,b03_s130004
311,1184x672,mm_clip_v1/20,2,13.94,2026-08-23,apricot_paper,mm_clip_v1,b04_s130005
311,1184x672,mm_clip_v1/20,3,14.05,2026-08-23,apricot_paper,mm_clip_v1,b06_s130006
362,1184x672,mm_clip_v1/20,1,16.16,2026-08-23,apricot_paper,mm_clip_v1,b07_s130007
311,1184x672,mm_clip_v1/20,3,12.44,2026-08-23,apricot_paper,mm_clip_v1,b06_s130008
311,1184x672,mm_clip_v1/20,3,10.41,2026-08-23,apricot_paper,mm_clip_v1,b06_s130009
311,1184x672,mm_clip_v1/20,3,10.46,2026-08-23,apricot_paper,mm_clip_v1,b06_s130010
311,1184x672,mm_clip_v1/20,3,10.38,2026-08-23,apricot_paper,mm_clip_v1,b06_s130011
311,1184x672,mm_clip_v1/20,3,10.39,2026-08-23,apricot_paper,mm_clip_v1,b06_s130012
311,1184x672,mm_clip_v1/20,3,11.74,2026-08-23,apricot_paper,mm_clip_v1,b06_s130013
311,1184x672,mm_clip_v1/20,3,13.88,2026-08-23,apricot_paper,mm_clip_v1,b06_s130014
1,1344x768,mm_image_v1/11,0,0.27,2026-08-23,last_light,mm_image_v1,look01_s120001
1,1344x768,mm_image_v1/11,0,0.16,2026-08-23,last_light,mm_image_v1,look02_s120002
1,1344x768,mm_image_v1/11,0,0.15,2026-08-23,last_light,mm_image_v1,look03_s120003
1,1344x768,mm_image_v1/11,0,0.15,2026-08-23,last_light,mm_image_v1,look04_s120004
1,1344x768,mm_image_v1/11,0,0.11,2026-08-23,last_light,mm_image_v1,look05_s120005
1,1344x768,mm_image_v1/11,0,0.11,2026-08-23,last_light,mm_image_v1,witch_s130001
1,1344x768,mm_image_v1/11,0,0.11,2026-08-23,last_light,mm_image_v1,witch_s130002
1,1344x768,mm_image_v1/11,0,0.11,2026-08-23,last_light,mm_image_v1,forest_s130003
1,1344x768,mm_image_v1/11,0,0.11,2026-08-23,last_light,mm_image_v1,forest_s130004
1,1344x768,mm_image_v1/11,0,0.11,2026-08-23,last_light,mm_image_v1,shrine_s130005
1,1344x768,mm_image_v1/11,0,0.11,2026-08-23,last_light,mm_image_v1,shrine_s130006
1,1344x768,mm_image_v1/11,0,0.11,2026-08-23,last_light,mm_image_v1,shrine_s130007
1,1344x768,mm_image_v1/11,0,0.11,2026-08-23,last_light,mm_image_v1,shrine_s130008
277,1184x672,mm_clip_v1/20,2,9.08,2026-08-23,last_light,mm_clip_v1,b01_s140001
277,1184x672,mm_clip_v1/20,2,8.57,2026-08-23,last_light,mm_clip_v1,b01_s140002
209,1184x672,mm_clip_v1/20,2,5.72,2026-08-23,last_light,mm_clip_v1,b02_s140003
209,1184x672,mm_clip_v1/20,2,6.28,2026-08-23,last_light,mm_clip_v1,b02_s140004
209,1184x672,mm_clip_v1/20,2,11.68,2026-08-24,last_light,mm_clip_v1,b02_s140005
209,1184x672,mm_clip_v1/20,2,8.44,2026-08-24,last_light,mm_clip_v1,b02_s140006
209,1184x672,mm_clip_v1/20,2,5.73,2026-08-24,last_light,mm_clip_v1,b02_s140007
209,1184x672,mm_clip_v1/20,2,6.24,2026-08-24,last_light,mm_clip_v1,b03_s140008
209,1184x672,mm_clip_v1/20,2,6.4,2026-08-24,last_light,mm_clip_v1,b03_s140009
260,1184x672,mm_clip_v1/20,2,7.77,2026-08-24,last_light,mm_clip_v1,b04_s140010
260,1184x672,mm_clip_v1/20,2,7.79,2026-08-24,last_light,mm_clip_v1,b04_s140011
260,1184x672,mm_clip_v1/20,2,7.88,2026-08-24,last_light,mm_clip_v1,b04_s140012
260,1184x672,mm_clip_v1/20,2,7.79,2026-08-24,last_light,mm_clip_v1,b04_s140013
260,1184x672,mm_clip_v1/20,2,7.68,2026-08-24,last_light,mm_clip_v1,b04_s140014
260,1184x672,mm_clip_v1/20,2,7.8,2026-08-24,last_light,mm_clip_v1,b04_s140015
158,1184x672,mm_clip_v1/20,2,3.97,2026-08-24,last_light,mm_clip_v1,b04_s140016
107,1184x672,mm_clip_v1/20,2,2.89,2026-08-24,last_light,mm_clip_v1,b05_s140017
107,1184x672,mm_clip_v1/20,2,2.54,2026-08-24,last_light,mm_clip_v1,b05_s140018
107,1184x672,mm_clip_v1/20,2,5.47,2026-08-24,last_light,mm_clip_v1,b05_s140019
107,1184x672,mm_clip_v1/20,2,3.02,2026-08-24,last_light,mm_clip_v1,b05_s140020
294,1184x672,mm_clip_v1/20,2,12.39,2026-08-24,last_light,mm_clip_v1,b05_s150001
192,1184x672,mm_clip_v1/20,2,6.19,2026-08-24,last_light,mm_clip_v1,b06_s150002
175,1184x672,mm_clip_v1/20,2,4.52,2026-08-24,last_light,mm_clip_v1,b07_s150003
175,1184x672,mm_clip_v1/20,2,5.55,2026-08-24,last_light,mm_clip_v1,b07_s150004
175,1184x672,mm_clip_v1/20,2,4.51,2026-08-24,last_light,mm_clip_v1,b07_s150005
481,1184x672,mm_clip_v1/20,2,20.66,2026-08-24,last_light,mm_clip_v1,b08_s150006
226,1184x672,mm_clip_v1/20,2,6.34,2026-08-24,last_light,mm_clip_v1,b09_s150007
226,1184x672,mm_clip_v1/20,2,9.32,2026-08-24,last_light,mm_clip_v1,b09_s150008
226,1184x672,mm_clip_v1/20,2,6.21,2026-08-24,last_light,mm_clip_v1,b09_s150009
124,1184x672,mm_ifl_v1/?,0,3.74,2026-08-24,last_light,mm_ifl_v1,bridge01_s160001
1,1344x768,mm_image_v1/11,0,0.24,2026-08-24,goose,mm_image_v1,look01_s120001
1,1344x768,mm_image_v1/11,0,0.11,2026-08-24,goose,mm_image_v1,look02_s120002
1,1344x768,mm_image_v1/11,0,0.1,2026-08-24,goose,mm_image_v1,look03_s120003
1,1344x768,mm_image_v1/11,0,0.09,2026-08-24,goose,mm_image_v1,look04_s120004
1,1344x768,mm_image_v1/11,0,0.09,2026-08-24,goose,mm_image_v1,look05_s120005
1,1344x768,mm_image_v1/11,0,0.11,2026-08-24,goose,mm_image_v1,goose_s130001
1,1344x768,mm_image_v1/11,0,0.12,2026-08-24,goose,mm_image_v1,goose_s130002
1,1344x768,mm_image_v1/11,0,0.13,2026-08-24,goose,mm_image_v1,mc_s130003
1,1344x768,mm_image_v1/11,0,0.13,2026-08-24,goose,mm_image_v1,mc_s130004
1,1344x768,mm_image_v1/11,0,0.12,2026-08-24,goose,mm_image_v1,mc_s130005
1,1344x768,mm_image_v1/11,0,0.11,2026-08-24,goose,mm_image_v1,mc_s130006
1,1344x768,mm_image_v1/11,0,0.1,2026-08-24,goose,mm_image_v1,mc_s130007
1,3264x1864,mm_image_v1/11,0,0.72,2026-08-24,goose,mm_image_v1,goose_s130010
1,3264x1864,mm_image_v1/11,0,0.77,2026-08-24,goose,mm_image_v1,mc_s130011
1,3264x1864,mm_image_v1/11,0,0.8,2026-08-24,goose,mm_image_v1,estate_s130012
1,3264x1864,mm_image_v1/11,0,0.81,2026-08-24,goose,mm_image_v1,underpass_s130013
1,3264x1864,mm_image_v1/11,0,0.86,2026-08-24,goose,mm_image_v1,pond_s130014
1,1920x1096,mm_image_v1/11,0,0.24,2026-08-24,goose,mm_image_v1,goose_s130015
1,1920x1096,mm_image_v1/11,0,0.23,2026-08-24,goose,mm_image_v1,mc_s130016
1,1920x1096,mm_image_v1/11,0,0.22,2026-08-24,goose,mm_image_v1,mc_s130017
1,1920x1096,mm_image_v1/11,0,0.52,2026-08-24,goose,mm_image_v1,mc_s130018
1,1920x1096,mm_image_v1/11,0,0.2,2026-08-24,goose,mm_image_v1,mc_s130019
209,960x544,mm_chain_v1/20,2,4.0,2026-08-24,goose,mm_chain_v1,chainproof_s140002
